rang,titre,note,episodes,description
Shuka,Natsume's Book of Friends Season 5,"4.402 out of 5 from 5,306 votes",11,Non disponible
Shin-Ei Animation,The Dangers in My Heart 2nd Season,"4.4 out of 5 from 3,069 votes",13,Non disponible
ufotable,Demon Slayer: Kimetsu no Yaiba - Mugen Train,"4.396 out of 5 from 19,779 votes",7,Non disponible
Brain's Base,Natsume's Book of Friends Season 4,"4.396 out of 5 from 8,517 votes",13,Non disponible
Pierrot,Bleach: Thousand-Year Blood War: Part II - The Separation,"4.394 out of 5 from 4,884 votes",13,Non disponible
MAPPA,Banana Fish,"4.393 out of 5 from 19,639 votes",24,Non disponible
CloverWorks,The Promised Neverland,"4.39 out of 5 from 49,096 votes",12,Non disponible
MAPPA,Jujutsu Kaisen 0: The Movie,"4.389 out of 5 from 18,137 votes",?,Non disponible
ufotable,Demon Slayer: Kimetsu no Yaiba - Swordsmith Village Arc,"4.387 out of 5 from 16,587 votes",11,Non disponible
8-Bit,That Time I Got Reincarnated as a Slime,"4.382 out of 5 from 45,858 votes",24,Non disponible
MADHOUSE,Hajime no Ippo: The Fighting!,"4.382 out of 5 from 15,277 votes",75,Non disponible
MADHOUSE,Hajime no Ippo: New Challenger,"4.38 out of 5 from 9,838 votes",26,Non disponible
Lerche,Assassination Classroom 2nd Season,"4.379 out of 5 from 37,881 votes",25,Non disponible
A-1 Pictures,Solo Leveling,"4.377 out of 5 from 18,087 votes",12,Non disponible
Artland,Mushishi Zoku Shou 2nd Season,"4.374 out of 5 from 6,287 votes",10,Non disponible
Sparkly Key Animation Studio,Soul Land 2nd Season,"4.373 out of 5 from 1,353 votes",237,Non disponible
A-1 Pictures,86: Eighty-Six - Part II,"4.372 out of 5 from 8,083 votes",12,Non disponible
Studio Chizu,Wolf Children,"4.372 out of 5 from 30,374 votes",?,Non disponible
Bones,Bungo Stray Dogs 4th Season,"4.371 out of 5 from 4,515 votes",13,Non disponible
Doga Kobo,YOASOBI: Idol,"4.37 out of 5 from 1,651 votes",?,Non disponible
Brain's Base,Natsume's Book of Friends Season 3,"4.364 out of 5 from 9,584 votes",13,Non disponible
Sunrise,Code Geass: Lelouch of the Rebellion,"4.363 out of 5 from 75,566 votes",25,Non disponible
"TMS Entertainment, V1 Studio",Kamisama Kiss: Kako-hen,"4.363 out of 5 from 9,990 votes",4,Non disponible
Sparkly Key Animation Studio,Swallowed Star 4th Season,4.363 out of 5 from 140 votes,90+,Non disponible
David Production,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"4.362 out of 5 from 20,881 votes",24,Non disponible
Science SARU,Dandadan,"4.361 out of 5 from 10,529 votes",12,Non disponible
Production I.G,Kaiju No. 8,"4.359 out of 5 from 9,771 votes",12,Non disponible
"Production I.G, WIT Studio",Attack on Titan,"4.358 out of 5 from 113,972 votes",25,Non disponible
"St. Signpost, Pierrot",Kingdom 4,"4.357 out of 5 from 1,053 votes",26,Non disponible
Artland,Mushishi Zoku Shou,"4.357 out of 5 from 7,062 votes",10,Non disponible
Pierrot,Yona of the Dawn: Zeno Arc,"4.355 out of 5 from 5,321 votes",2,Non disponible
WIT Studio,Attack on Titan 2nd Season,"4.354 out of 5 from 59,229 votes",12,Non disponible
David Production,JoJo's Bizarre Adventure: Diamond is Unbreakable,"4.352 out of 5 from 19,140 votes",39,Non disponible
Shuka,Natsume's Book of Friends Season 7,4.35 out of 5 from 750 votes,12,Non disponible
Motion Magic,Fights Break Sphere 5th Season,4.35 out of 5 from 246 votes,151+,Non disponible
J.C.Staff,The Disastrous Life of Saiki K. 2nd Season,"4.349 out of 5 from 16,110 votes",24,Non disponible
Doga Kobo,Oshi no Ko,"4.349 out of 5 from 11,557 votes",11,Non disponible
